zipcode,city
98002,Auburn
98092,Auburn
98224,Other
98004,Bellevue
98005,Bellevue
98006,Bellevue
98007,Bellevue
98008,Bellevue
98010,Other
98011,Other
98178,Other
98148,Burien
98166,Burien
98014,Other
98077,Other
98042,Other
98198,Other
98019,Other
98031,Other
98022,Other
98058,Other
98024,Other
98003,Federal Way
98023,Federal Way
98027,Issaquah
98029,Issaquah
98028,Other
98032,Kent
98030,Kent
98033,Kirkland
98034,Kirkland
98001,Other
98038,Other
98039,Other
98040,Other
98045,Other
98047,Other
98050,Other
98051,Other
98052,Other
98055,Renton
98056,Renton
98057,Renton
98059,Renton
98074,Sammamish
98075,Sammamish
98188,Other
98199,Seattle
98174,Seattle
98154,Seattle
98158,Seattle
98164,Seattle
98101,Seattle
98102,Seattle
98103,Seattle
98104,Seattle
98105,Seattle
98106,Seattle
98107,Seattle
98108,Seattle
98109,Seattle
98112,Seattle
98115,Seattle
98116,Seattle
98117,Seattle
98118,Seattle
98119,Seattle
98121,Seattle
98122,Seattle
98125,Seattle
98126,Seattle
98133,Seattle
98134,Seattle
98136,Seattle
98144,Seattle
98155,Shoreline
98177,Shoreline
98288,Other
98065,Other
98168,Other
98053,Other
98195,Other
98070,Other
98146,Other
98072,Other
